id,hn,species,submitted_sample,collect_method,vitek_id,bact_species_1,amikacin,amoxicillin/clavulanic acid,ampicillin,benzylpenicillin,cefalotin,cefotaxime,cefovecin,cefoxitin screen,cefpodoxime,ceftriaxone,chloramphenicol,clindamycin,doxycycline,enrofloxacin,erythromycin,florfenicol,fusidic acid,gentamicin,inducible clindamycin resistance,levofloxacin,linezolid,marbofloxacin,minocycline,moxifloxacin,mupirocin,nitrofurantoin,oxacillin,pradofloxacin,rifampicin,senrofloxacin,teicoplanin,tetracycline,tigecycline,trimethoprim/sulfamethoxazole,vancomycin,answer0,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10,answer11,answer12,answer13
1922,5806415,Dog,Opened wound,,GP,Corynebacterium auriscanis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amoxicillin/clavulanic acid,doxycycline,,,,,,,,,,,,
1923,5806591,Dog,Pyoderma,,GP,Staphylococcus pseudintermedius,,,,R,S,,R,-,R,,R,R,,R,R,,S,I,-,,,R,,,R,S,R,,,,,R,,R,S,,,,,,,,,,,,,,
1924,5806876,Dog,Pustule from skin,,GP,Staphylococcus chromogenes,,,,R,,,S,-,,,S,S,,R,S,,S,S,-,,,R,,,S,S,R,,,,,R,,S,S,clindamycin,trimethoprim/sulfamethoxazole,,,,,,,,,,,,
1925,5807112,Dog,Lt ear wax,,GP,Staphylococcus schleiferi,,,,S,,,S,-,,,S,S,,S,S,,S,S,-,,,S,,,S,S,S,,,,,S,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,,,,,,,,,,,
1926,5807261,Dog,bile,,GP,Enterococcus faecalis,,,,S,,,,,,,S,,,R,R,,,,,,,R,,,,S,,,,,,R,,,S,amoxicillin/clavulanic acid,,,,,,,,,,,,,
1927,5807401,Dog,Crust from skin,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,S,,S,S,,S,S,-,,,S,,,S,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,clindamycin,trimethoprim/sulfamethoxazole,,,,,,,,,
1928,5807727,Dog,Epidermal collarette,,GP,Staphylococcus pseudintermedius,,,,R,S,,S,-,S,,S,*R,,I,R,,S,S,+,,,S,,,S,S,S,,,,,R,,S,S,cefalexin,amoxicillin/clavulanic acid,cefovecin,trimethoprim/sulfamethoxazole,,,,,,,,,,
1929,5807777,Dog,Opened wound (digit),,GP,Staphylococcus schleiferi,,,,R,,,S,-,,,S,R,,I,R,,S,R,-,,,R,,,S,S,R,,,,,R,,S,S,trimethoprim/sulfamethoxazole,,,,,,,,,,,,,
1930,5808168,Dog,Subcutaneous (Surgery:remove skin mass),"NA
ID/AST card
GP
Isolate No. 
MIC1687/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Staphylococcus pseudintermedius
Antimicrobials
Results
MIC
S/I/R
Cefoxitin
NEG
-
Benzyl penicillin
>=0.5
R
Amoxicillin/clavulanic acid
<=2
S
Oxacillin
>=4
R
Cephalothin
<=2
S
Cefpodoxime
4
I
Cefovecin
>=8
R
Gentamicin
8
I
Enrofloxacin
>=4
R
Marbofloxacin
>=4
R
Inducible clindamycin
NEG
-
Antimicrobials
Results
MIC
S/I/R
Erythromycin
>=8
R
Clindamycin
>=4
R
Vancomycin
<=0.5
S
Tetracycline
>=16
R
Nitrofurantoin
<=16
S
Fusidic acid
<=0.5
S
Mupirocin
<=1
S
Chloramphenicol
8
S
Rifampicin
<=0.5
S
Sulfamethoxazole/trimethoprim
>=320
R
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Methicillin-resistant Staphylococcus pseudintermedius
--		เชื้อเป็น MRS ไม่แนะนำให้ใช้ยาต้านจุลชีพกลุ่ม beta-lactams ในการรักษา เนื่องจากอาจให้ผลการรักษาที่ไม่แน่นอน
--	เชื้อเป็น multidrug resistance ดื้อยาต้านจุลชีพตามระบบที่แนะนำให้ใช้ในการรักษาโรคผิวหนังทุกชนิด
--	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น mupirocin or fusidic acid
--		 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
	--		Vancomycin 15 mg/kg q6-8h IV infusion หรือ constant-rate infusion (CRI) โดยใช้ loading dose ในขนาด 3.5 mg/kg ตามด้วย CRI ในขนาด 1.5 mg/kg/h (ผสมยาในD5W) for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิทและให้ยาต่อไปอีก 1-2 สัปดาห์ ควร monitor ไตและภาวะแห้งน้ำของสุนัข ปรับขนาดของยาหากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากยาอาจจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 19 สิงหาคม พ.ศ.2562","รวจห้องปฏิบัติการจุลชีววิทยา 
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5808168 Clinician สพ.ญ.ธัญญธร       
		รายงานผลตรวจห้องปฏิบัติการจุลชีววิทยา 
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5808168 Clinician สพ.ญ.ธัญญธร       
----media/image1.png----
1)	ข้อมูลการส่ง และประวัติของตัวอย่าง 
Date of sample collection
13 Aug 2019
Date of submission
13 Aug 2019
Owner
สุมาลี วิทยพิบูลย์
Patient
เทปเป
Species
Dog
Breed
Mixed breed
Sex
Male
Birth date
20 Jan 2005
2)	ข้อมูลห้องปฏิบัติการ
Submitted sample
Subcutaneous (Surgery:remove skin mass)
Method of collection
NA
ID/AST card
GP
Isolate No. 
MIC1687/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Staphylococcus pseudintermedius
Antimicrobials
Results
MIC
S/I/R
Cefoxitin
NEG
-
Benzyl penicillin
>=0.5
R
Amoxicillin/clavulanic acid
<=2
S
Oxacillin
>=4
R
Cephalothin
<=2
S
Cefpodoxime
4
I
Cefovecin
>=8
R
Gentamicin
8
I
Enrofloxacin
>=4
R
Marbofloxacin
>=4
R
Inducible clindamycin
NEG
-
Antimicrobials
Results
MIC
S/I/R
Erythromycin
>=8
R
Clindamycin
>=4
R
Vancomycin
<=0.5
S
Tetracycline
>=16
R
Nitrofurantoin
<=16
S
Fusidic acid
<=0.5
S
Mupirocin
<=1
S
Chloramphenicol
8
S
Rifampicin
<=0.5
S
Sulfamethoxazole/trimethoprim
>=320
R
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Methicillin-resistant Staphylococcus pseudintermedius
--		เชื้อเป็น MRS ไม่แนะนำให้ใช้ยาต้านจุลชีพกลุ่ม beta-lactams ในการรักษา เนื่องจากอาจให้ผลการรักษาที่ไม่แน่นอน
--	เชื้อเป็น multidrug resistance ดื้อยาต้านจุลชีพตามระบบที่แนะนำให้ใช้ในการรักษาโรคผิวหนังทุกชนิด
--	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น mupirocin or fusidic acid
--		 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
	--		Vancomycin 15 mg/kg q6-8h IV infusion หรือ constant-rate infusion (CRI) โดยใช้ loading dose ในขนาด 3.5 mg/kg ตามด้วย CRI ในขนาด 1.5 mg/kg/h (ผสมยาในD5W) for at least 10 days หรือให้ยาต่อเนื่องจนอาการหายสนิทและให้ยาต่อไปอีก 1-2 สัปดาห์ ควร monitor ไตและภาวะแห้งน้ำของสุนัข ปรับขนาดของยาหากสุนัขมีความผิดปกติของไตหรือเกิดภาวะแห้งน้ำ เนื่องจากยาอาจจะทำให้เกิดความเป็นพิษต่อไตมากขึ้น
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 19 สิงหาคม พ.ศ.2562",Staphylococcus pseudintermedius,,,,R,S,,R,-,I,,S,R,,R,R,,S,I,-,,,R,,,S,S,R,,,,,R,,R,S,vancomycin,,,,,,,,,,,,,
1931,5808749,Cat,urine,Cystocentesis,GP,Staphylococcus kloosii (1.0x103 CFU/ml),,,,R,,,S,-,,,S,S,,S,S,,R,S,-,,,S,,,S,S,S,,,,,S,,S,S,amoxicillin/clavulanic acid,trimethoprim/sulfamethoxazole,cefovecin,amoxicillin/clavulanic acid,trimethoprim/sulfamethoxazole,,,,,,,,,
1932,5808749,Cat,Urine,"Cystocentesis 
Vitek ID /ASTcard
GP/GP-AST
Isolate No.
MIC1897/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Kocuria kristinae (7.2x104 CFU/ml
Antimicrobials
Results
MIC
S/I/R
Cefoxitin
NEG
-
Benzyl penicillin
0.06
NA
Amoxicillin/clavulanic acid
<=2
NA
Oxacillin
TRM
NA
Cephalothin
NA
NA
Cefpodoxime
NA
NA
Cefovecin
1
NA
Gentamicin
<=0.5
NA
Enrofloxacin
<=0.5
NA
Marbofloxacin
<=0.5
NA
Inducible clindamycin
NEG
NA
Antimicrobials
Results
MIC
S/I/R
Erythromycin
>=8
NA
Clindamycin
0.5
NA
Vancomycin
<=0.5
NA
Tetracycline
<=1
NA
Nitrofurantoin
<=16
NA
Fusidic acid
<=0.5
NA
Mupirocin
NA
NA
Chloramphenicol
8
NA
Rifampicin
<=0.5
NA
Sulfamethoxazole/trimethoprim
<=10
NA
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Kocuria kristinae
--	จากตัวอย่าง urine เมื่อ 28 ก.พ. พบเชื้อ Staphylococcus kloosii ซึ่งไวต่อยา amoxicillin/clavulanic acid, oxacillin, cefovecin, gentamicin, enrofloxacin, marbofloxacin, erythromycin, clindamycin, vancomycin, tetracycline, nitrofurantoin, mupirocin, chloramphenicol, rifampicin, sulfamethoxazole/trimethoprim
--	เชื้อนี้บทบาทเป็นเชื้อประจำถิ่น ปกติไม่มีบทบาทในการก่อโรคหรือโอกาสที่ทำให้เกิดการติดเชื้อแบบฉวยโอกาสน้อยมาก ให้วินิจฉัยร่วมกับอาการแสดง การตรวจวิเคราะห์ปัสสาวะและการตรวจตะกอนพบเซลล์อักเสบและ gram-positive cocci
--	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
--	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
	--	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
	--	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
--		แนะนำให้ flush ล้างกระเพาะปัสสาวะด้วย NSS จนปัสสาวะใส เพื่อช่วยกำจัด/ลดจำนวนเชื้อในกระเพาะปัสสาวะ
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 19 กันยายน พ.ศ.2562","รวจห้องปฏิบัติการจุลชีววิทยา 
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5808749 Clinician น.สพ.นวัต       
		รายงานผลตรวจห้องปฏิบัติการจุลชีววิทยา 
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5808749 Clinician น.สพ.นวัต       
----media/image1.png----
1)	ข้อมูลการส่ง และประวัติของตัวอย่าง 
Date of sample collection
9 Sep 2019
Date of submission
9 Sep 2019
Owner
พีรณัฐ สุวรรณาพิสิทธิ์
Patient
ตาล
Species
Cat
Breed
Domestic Shorthair (DSH)
Sex
Male
Birth date
Apr 2015
2)	ข้อมูลห้องปฏิบัติการ
Submitted sample
Urine
Method of collection
Cystocentesis 
Vitek ID /ASTcard
GP/GP-AST
Isolate No.
MIC1897/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Kocuria kristinae (7.2x104 CFU/ml
Antimicrobials
Results
MIC
S/I/R
Cefoxitin
NEG
-
Benzyl penicillin
0.06
NA
Amoxicillin/clavulanic acid
<=2
NA
Oxacillin
TRM
NA
Cephalothin
NA
NA
Cefpodoxime
NA
NA
Cefovecin
1
NA
Gentamicin
<=0.5
NA
Enrofloxacin
<=0.5
NA
Marbofloxacin
<=0.5
NA
Inducible clindamycin
NEG
NA
Antimicrobials
Results
MIC
S/I/R
Erythromycin
>=8
NA
Clindamycin
0.5
NA
Vancomycin
<=0.5
NA
Tetracycline
<=1
NA
Nitrofurantoin
<=16
NA
Fusidic acid
<=0.5
NA
Mupirocin
NA
NA
Chloramphenicol
8
NA
Rifampicin
<=0.5
NA
Sulfamethoxazole/trimethoprim
<=10
NA
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Kocuria kristinae
--	จากตัวอย่าง urine เมื่อ 28 ก.พ. พบเชื้อ Staphylococcus kloosii ซึ่งไวต่อยา amoxicillin/clavulanic acid, oxacillin, cefovecin, gentamicin, enrofloxacin, marbofloxacin, erythromycin, clindamycin, vancomycin, tetracycline, nitrofurantoin, mupirocin, chloramphenicol, rifampicin, sulfamethoxazole/trimethoprim
--	เชื้อนี้บทบาทเป็นเชื้อประจำถิ่น ปกติไม่มีบทบาทในการก่อโรคหรือโอกาสที่ทำให้เกิดการติดเชื้อแบบฉวยโอกาสน้อยมาก ให้วินิจฉัยร่วมกับอาการแสดง การตรวจวิเคราะห์ปัสสาวะและการตรวจตะกอนพบเซลล์อักเสบและ gram-positive cocci
--	จากการทำ urine quantitative culture บ่งชี้ว่าเป็น UTI
--	ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
	--	Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์ 
	--	Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 10-14 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 1-2 สัปดาห์
--		แนะนำให้ flush ล้างกระเพาะปัสสาวะด้วย NSS จนปัสสาวะใส เพื่อช่วยกำจัด/ลดจำนวนเชื้อในกระเพาะปัสสาวะ
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 19 กันยายน พ.ศ.2562",Kocuria kristinae (7.2x104 CFU/ml,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,amoxicillin/clavulanic acid,trimethoprim/sulfamethoxazole,cefovecin,amoxicillin/clavulanic acid,trimethoprim/sulfamethoxazole,,,,,,,,,
1933,5812187,Dog,Opened wound,"NA
Vitek ID /ASTcard
GP/GP-AST
Isolate No.
MIC2659/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Staphylococcus pseudintermedius
Antimicrobials
Results
MIC
S/I/R
Cefoxitin
NEG
-
Benzyl penicillin
>=0.5
R
Amoxicillin/clavulanic acid
<=2
S
Oxacillin
>=4
R
Cephalothin
<=2
S
Cefpodoxime
4
I
Cefovecin
>=8
R
Amikacin
<=2
S
Gentamicin
>=16
R
Enrofloxacin
>=4
R
Marbofloxacin
>=4
R
Antimicrobials
Results
MIC
S/I/R
Pradofloxacin
2
R
Inducible clindamycin
NEG
-
Erythromycin
>=8
R
Clindamycin
0.5
S
Doxycycline
>=16
R
Minocycline
8
R
Nitrofurantoin
<=16
S
Chloramphenicol
>=64
R
Florfenicol
<=4
S
Sulfamethoxazole/trimethoprim
>=320
R
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Methicillin-resistant Staphylococcus pseudintermedius
--		เชื้อเป็น MRS ไม่แนะนำให้ใช้ยาต้านจุลชีพกลุ่ม beta-lactams ในการรักษา เนื่องจากอาจให้ผลการรักษาที่ไม่แน่นอน
--	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
--		 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ได้แก่
	--		Clindamycin 5.5-11 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 24 ธันวาคม พ.ศ.2562","รวจห้องปฏิบัติการจุลชีววิทยา 
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5812187 Clinician สพ.ญ.ไอริณ       
		รายงานผลตรวจห้องปฏิบัติการจุลชีววิทยา 
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5812187 Clinician สพ.ญ.ไอริณ       
----media/image1.png----
1)	ข้อมูลการส่ง และประวัติของตัวอย่าง 
Date of sample collection
19 Dec 2019
Date of submission
19 Dec 2019
Owner
ชนม์สวัสดิ์ อัศวเหม
Patient
ฮายีน่า
Species
Dog
Breed
Mixed breed
Sex
Female
Birth date
Year 2007
2)	ข้อมูลห้องปฏิบัติการ
Submitted sample
Opened wound
Method of collection
NA
Vitek ID /ASTcard
GP/GP-AST
Isolate No.
MIC2659/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Staphylococcus pseudintermedius
Antimicrobials
Results
MIC
S/I/R
Cefoxitin
NEG
-
Benzyl penicillin
>=0.5
R
Amoxicillin/clavulanic acid
<=2
S
Oxacillin
>=4
R
Cephalothin
<=2
S
Cefpodoxime
4
I
Cefovecin
>=8
R
Amikacin
<=2
S
Gentamicin
>=16
R
Enrofloxacin
>=4
R
Marbofloxacin
>=4
R
Antimicrobials
Results
MIC
S/I/R
Pradofloxacin
2
R
Inducible clindamycin
NEG
-
Erythromycin
>=8
R
Clindamycin
0.5
S
Doxycycline
>=16
R
Minocycline
8
R
Nitrofurantoin
<=16
S
Chloramphenicol
>=64
R
Florfenicol
<=4
S
Sulfamethoxazole/trimethoprim
>=320
R
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Methicillin-resistant Staphylococcus pseudintermedius
--		เชื้อเป็น MRS ไม่แนะนำให้ใช้ยาต้านจุลชีพกลุ่ม beta-lactams ในการรักษา เนื่องจากอาจให้ผลการรักษาที่ไม่แน่นอน
--	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
--		 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ได้แก่
	--		Clindamycin 5.5-11 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 24 ธันวาคม พ.ศ.2562",Staphylococcus pseudintermedius,S,,,R,S,,R,-,I,,R,S,R,R,R,S,,R,-,,,R,R,,,S,R,R,,,,,,R,,clindamycin,cefalexin,amoxicillin/clavulanic acid,clindamycin,trimethoprim/sulfamethoxazole,vancomycin,,,,,,,,
1934,5812187,Dog,Exudate from abscess,"NA
Vitek ID/AST card
GP/GP-ST
Isolate No.
MIC1717/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Streptococcus canis
Antimicrobials
Results
MIC
S/I/R
Benzyl penicillin
<=0.06
S
Ampicillin
<=0.25
S
Cefotaxime
<=0.12
S
Ceftriaxone
<=0.12
S
Levofloxacin
0.5
S
Inducible clindamycin
NA
NA
Antimicrobials
Results
MIC
S/I/R
Erythromycin
<=0.12
S
Clindamycin
<=0.25
S
Linezolid
<=2
S
Vancomycin
<=0.12
S
Tetracycline 
4
I
Sulfamethoxazole/trimethoprim
<=10
S
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Streptococcus canis
--	จากตัวอย่าง wound เมื่อ 5 มิ.ย. พบเชื้อ Acinetobacter baumannii complex ซึ่งไวต่อยา tobramycin
--	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
--		 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
	--		Cephalexin 25-30 mg/kg q12h PO for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
	--		Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
	--		Clindamycin 5.5-11 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
	--		Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 26 สิงหาคม พ.ศ.2562","รวจห้องปฏิบัติการจุลชีววิทยา
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5812187 Clinician สพ.ญ.วลัยพร
		รายงานผลตรวจห้องปฏิบัติการจุลชีววิทยา
		Results of Antimicrobial Susceptibility Testing (AST)
		HN 5812187 Clinician สพ.ญ.วลัยพร
----media/image1.png----
1)		ข้อมูลการส่ง และประวัติของตัวอย่าง
Date of sample collection
16 Aug 2019
Date of submission
16 Aug 2019
Owner
ชนม์สวัสดิ์ อัศวเหม
Patient
ฮายีน่า
Species
Dog
Breed
Mixed breed
Sex
Female
Birth date
Year 2007
2)	ข้อมูลห้องปฏิบัติการ
Submitted sample
Exudate from abscess
Method of collection
NA
Vitek ID/AST card
GP/GP-ST
Isolate No.
MIC1717/2019
3)	ผลจากห้องปฏิบัติการ (Vitek®):				
Bacterial Species identification
Streptococcus canis
Antimicrobials
Results
MIC
S/I/R
Benzyl penicillin
<=0.06
S
Ampicillin
<=0.25
S
Cefotaxime
<=0.12
S
Ceftriaxone
<=0.12
S
Levofloxacin
0.5
S
Inducible clindamycin
NA
NA
Antimicrobials
Results
MIC
S/I/R
Erythromycin
<=0.12
S
Clindamycin
<=0.25
S
Linezolid
<=2
S
Vancomycin
<=0.12
S
Tetracycline 
4
I
Sulfamethoxazole/trimethoprim
<=10
S
4)	Recommendation of antimicrobial choices
Bacterial Species identification
Streptococcus canis
--	จากตัวอย่าง wound เมื่อ 5 มิ.ย. พบเชื้อ Acinetobacter baumannii complex ซึ่งไวต่อยา tobramycin
--	แนะนำให้ล้างทำความสะอาดบาดแผลด้วย wound irrigation solution  หรือ antiseptics ที่ได้ผลต่อเชื้อและทำลาย biofilms เช่น Prontosan® ร่วมกับการใช้ยาฆ่าเชื้อ เช่น silver alginate หรือยาต้านจุลชีพเฉพาะที่ เช่น amikacin
--		 ในกรณีที่มีการอักเสบติดเชื้อรุนแรง มีการติดเชื้อชั้นลึก หรือเสี่ยงต่อการติดเชื้อตามระบบ ยาต้านจุลชีพที่แนะนำ ตามลำดับ ได้แก่
	--		Cephalexin 25-30 mg/kg q12h PO for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
	--		Amoxicillin/clavulanic acid 25 mg/kg q8h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
	--		Clindamycin 5.5-11 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
	--		Sulfamethoxazole/trimethoprim 30 mg/kg q12h PO AC for 7-10 days หรือให้ยาต่อเนื่องจนอาการหายสนิท และให้ยาต่อไปอีก 2-3 วัน ในกรณีที่เป็นการติดเชื้อฉับพลัน หรือ 1-2 สัปดาห์ ในกรณีที่เป็นการติดเชื้อเรื้อรัง
ผศ.สพ.ญ.ดร.นิภัทรา สวนไพรินทร์, ผศ.น.สพ.ดร.ภัทรรัฐ จันทร์ฉายทอง ผู้ทำการอ่านผลและแนะนำ 26 สิงหาคม พ.ศ.2562",Streptococcus canis,,,S,S,,S,,,,S,,S,,,S,,,,,S,S,,,,,,,,,,,I,,S,S,clindamycin,cefalexin,amoxicillin/clavulanic acid,clindamycin,trimethoprim/sulfamethoxazole,vancomycin,,,,,,,,
